Title,Awarded value,Date of Award,Company name,Street,City,Postal code,Contract awarded by,Basis for DAC Award,Latitude,Longitude
"[1567079- SC2] - SE1567079-B Roof Work at Lakewood RSCC, Bangor","£395,954 ",05/10/2018,D J Dickson,127 Derryboy Road,DOWNPATRICK,BT30 9DH,South Eastern Health & Social Care Trust,N/A,54.42832,-5.73074
[1415825- SC2] - SE1415825-E Installation of Submains and Distribution Boards at Ulster Hospital,"£85,982 ",05/10/2018,Irwin M&E Ltd,Unit 4 Diviny Drive,CRAIGAVON,BT63 5WE,South Eastern Health & Social Care Trust,N/A,54.44822,-6.41513
[1416030- SC2] - SE1416030-E Installation of New Generator at Ulster Hospital,"£92,870 ",05/10/2018,Irwin M&E Ltd,Unit 4 Diviny Drive,CRAIGAVON,BT63 5WE,South Eastern Health & Social Care Trust,N/A,54.44822,-6.41513
St. Mary’s University College Minor Works Programme 2018-19 ICT Appointment,"£64,975.00 ",10/10/2018,Povall Worthington,405 Holywood Road,Belfast,BT4 2GU,DE,N/A,54.61305,-5.86203
"WE1574332-B Refurbishment of Ward 4, Tower Block, Altnaglevin Hospital (re-issued)","£47,300 ",12/10/2018,Louerne Construction Ltd,18 Newtown Place,Strabane,BT63 5WE,Western Health & Social Care Trust,N/A,54.44822,-6.41513
NWRC Phase 6 - Refurbishment Of Springtown Building (Re-Issue),"£6,370,000.00 ",16/10/2018,O'Hare & McGovern Limited,"Carnbane House, Shepherd's Way",Newry,BT35 6EE,NWRC,N/A,54.19862,-6.35029
"TSC-Building,planned/preventative maintenance and small minor works (Lot 1)","£1,613,050.15 ",16/10/2018,Maurice Flynn ,"Saunders House, Sprinfield Indutrial Estate, 
2 Springbank Road",Belfast,BT17 0QL,NIFRS,N/A,54.56839,-6.03075
"TSC-Building,planned/preventative maintenance and small minor works (Lot 2)","£1,676,816.40 ",16/10/2018,H & J Martin Ltd,21-23 Sydenham Road,Belfast,BT3 9HA,NIFRS,N/A,54.60261,-5.91055
"TSC-Building,planned/preventative maintenance and small minor works (Lot 3)",TBC,16/10/2018,Combined Facilities Management,"Unit 8 Opus Business Park, 35 Aughrim Road",Magherafelt,BT45 6BB,NIFRS,N/A,54.75195,-6.59626
"[1574332- SC2] - WE1574332-B Refurbishment of Ward 4, Tower Block, Altnaglevin Hospital (re-issued)","£473,000 ",16/10/2018,Louerne Construction Ltd,18 Newtown Place,STRABANE,BT82 8DS,Western Health & Social Care Trust,N/A,54.82854,-7.46124
New Stormont Estate Play Park - IST Procurement,"£659,725.00 ",18/10/2018,Hawthorn Heights Ltd,38A Vale Road,Greysteel,BT47 3BL,DoF,N/A,55.01624,-7.11465
Extension of SEHSCT Lot 1 MTC,"£4,000,000 ",24/10/2018,D J Dickson,127 Derryboy Road,DOWNPATRICK,BT30 9DH,South Eastern Health & Social Care Trust,In the public interest,54.42832,-5.73074
Extension of SEHSCT Lot 2 MTC,"£4,400,000 ",24/10/2018,Killowen Contracts Ltd,35 Bridge Road ,NEWRY,BT34 3QT,South Eastern Health & Social Care Trust,In the public interest,54.13831,-6.26013
WHSCT FRAMEWORK FOR BUILDING MAINTENANCE AND MINOR BUILDING WORKS – CONTRACT EXTENSION,"£1,800,000 ",25/10/2018,Nicor Construction,33 Patrick Street,STRABANE,BT82 8DQ,Western Health & Social Care Trust,In the public interest,54.82785,-7.46262
Upgrade of CCTV at Lagan Weir (Re-issue),"£167,127.00 ",01/11/2018,Scan Alarms and Security Systems (UK) Ltd,"52 Trench Road, Mallusk",Newtownabbey,BT36 4TY,DfC,N/A,54.67943,-5.99818
NO1462119-MTC Term Service Short Contract for Minor Works NHSCT Northern Geographical Area.,"£1,893,274 ",01/11/2018,H&J Martin Ltd,Rosemount House, BELFAST,BT3 9HA,Northern Health & Social Care trust,N/A,54.60261,-5.91055
NO1466297-MTC Term Service Short Contract for Minor Works at NHSCT Southern Geographical Area.,"£1,659,850 ",01/11/2018,Down Developments Ltd,Unit 5 Portadown Road Quarry Business Park,CRAIGAVON,BT66 8QF,Northern Health & Social Care trust,N/A,54.45838,-6.35724
NO1458149-MTC Term Service Short Contract for Minor Works at Antrim Area Hospital Site,"£1,645,800 ",01/11/2018,Down Developments Ltd,Unit 5 Portadown Road Quarry Business Park,CRAIGAVON,BT66 8QF,Northern Health & Social Care trust,N/A,54.45838,-6.35724
NO1609392B: Antrim Hospital - 24 Bed Modular Ward - NHS Framework Suppliers,"£1,800,000 ",09/11/2018,Western Building Systems Ltd,11 Mountjoy Road,DUNGANNON,BT71 5DQ,Northern Health & Social Care trust,N/A,54.55597,-6.63044
SE1519031-B Refurbishment of office accommodation Ward 24 Downshire Hospital,"£149,995 ",12/11/2018,DEMAC Construction Ltd,7A Monaghan Court,NEWRY,BT35 6BH,South Eastern Health & Social Care Trust,N/A,54.17768,-6.3427
WE1691782-B Security Measures for Tyrone County Hospital and Riverside House,"£128,331 ",12/11/2018,Lowry Building & Civil Engineering Ltd,7 John Street,CASTLEDERG,BT81 7AW,Western Health & Social Care Trust,N/A,54.70934,-7.59309
Ravenhill Road Public Toilets PREI Scheme (Re-issue),"£13,160.00 ",15/11/2018,RPS (Ireland) Ltd,"Elmwood House, 74 Boucher Road",Belfast,BT12 6RZ,DfC,N/A,54.57119,-5.96974
NO1614155-B Phase 4 Car Parking Antrim Hospital,"£618,708 ",15/11/2018,M P Coleman Ltd,Brigh Quarry,DUNGANNON,BT71 5JP,Northern Health & Social Care trust,N/A,54.59424,-6.65859
9 Lanyon Place - Phase 2 Office Refurbishment (DAC),"£920,222.00 ",16/11/2018,Graham Asset Management Ltd,20 Wildflower Way ,Belfast ,BT12 6TA,DoF,Yes,54.57863,-5.95919
Lisnasharragh PSNI Station - New Front Entrance & Associated Works ,"£1,136,380.00 ",23/11/2018,Withheld,Withheld,Withheld,Withheld,DOJ,N/A,,
HED Carrickfergus Castle Great Tower Roof Replacement,"£719,810.00 ",26/11/2018,JPM Contracts Ltd,79 Main Street,Dungiven,BT47 4LE,DfC,N/A,54.92724,-6.92474
Ballysillan Park/Crumlin Road Junction PREI Scheme,"£17,876.00 ",29/11/2018,McAdam Design Ltd,"1C Montgomery House,
Castlereagh Business Park,
478 Castlereagh Road",Belfast,BT5 6BQ,DfC,N/A,54.5802,-5.87535
Call - Off for Antrim Road Shopping Node PREI Scheme Design (re-Issue),"£22,860.07 ",30/11/2018,McAdam Design Ltd,"1C Montgomery House, 478 Castlereagh Road",Belfast,BT5 6BQ,DfC,N/A,54.5802,-5.87535
"BE1709923 - Refurbishment And Upgrade Of Phase 1 Bed Lift And OPD Passenger Lift, Royal Victoria Hospital, Royal Group of Hospitals, Belfast Health And Social Care Trust","£264,300 ",30/11/2018,Thyssenkrupp Elevator Uk Ltd,"Unit 25, Dunlop Industrial Units",BANGOR,BT19 7QY,Belfast Health & Social Care Trust,N/A,54.64353,-5.66785
Lakeglen Avenue PREI Scheme  (REISSUE),"£7,840.00 ",03/12/2018,RPS (Ireland) Ltd,"Elmwood House, 74 Boucher Road",Belfast,BT12 6RZ,DfC,N/A,54.57119,-5.96974
Lislea Drive PSNI Station - New Guard House & Entrance,"£874,210.00 ",03/12/2018,WITHHELD,WITHHELD,WITHHELD,WITHHELD,Northern Ireland Policing Board,N/A,,
Pre-Acquisition Professional Advice,"£9,996.00 ",06/12/2018,Moore MacDonald & Partners,"Surveyor House, 7 Balloo Court",Bangor,BT!9 7AT,DoF,N/A,54.64353,-5.66785
"BE1709553 - Refurbishment And Upgrade Of Existing Theatre Bed Lift, Withers, Musgrave Park Hospital, Belfast Health And Social Care Trust","£106,000 ",07/12/2018,Thyssenkrupp Elevator Uk Ltd,"Unit 25, Dunlop Industrial Units",BANGOR,BT19 7QY,Belfast Health & Social Care Trust,N/A,54.64353,-5.66785
"BE1677932-B Refurbishment of Day Surgery and Pre-Assessment Unit, Ground Floor, Tower Block, Belfast City Hospital.","£1,069,700 ",11/12/2018,O'Hare and McGovern Ltd,"Carnbane House, Shepherds Way",Newry,BT35 6EE,Belfast Health & Social Care Trust,N/A,54.19862,-6.35029
Call-Off For Trench Park/Finaghy Road Junction PREI Scheme ,"£7,440.00 ",13/12/2018,RPS (Ireland) Ltd,"Elmwood House, 74 Boucher Road",Belfast,BT12 6RZ,DfC,N/A,54.57119,-5.96974
Research Proposal for Electrical Energy Storage,"£20,000 ",17/12/2018,Smartgrid Ireland,"Innovation Centre, NI Science Park",BELFAST,BT3 9DT,Belfast Health & Social Care Trust,In the public interest,54.61149,-5.90237
"BE1715974-B Building Works Associated With Replacement MRI Scanner, Musgrave Park Hospital [RE-ISSUE]","£829,790 ",17/12/2018,Bell Contracts,7 Sandholes Road,COOKSTOWN,BT80 9AR,Belfast Health & Social Care Trust,N/A,54.62708,-6.75827
"BE1691675-B Building Works Associated With Replacement MRI Scanner, Musgrave Park Hospital","£552,620 ",17/12/2018,Bell Contracts,7 Sandholes Road,COOKSTOWN,BT80 9AR,Belfast Health & Social Care Trust,N/A,54.62708,-6.75827
"BE1659593-B CPA Childrens Home, 57A College Park Avenue, Refurbishment Works, Belfast","£798,800 ",18/12/2018,Leo Matheson Ltd,32 Main Street,Castlewellan,BT31 9DG,Belfast Health & Social Care Trust,N/A,54.25819,-5.94038
Donegall Road Shopping Nodes PREI Scheme Design (RE-ISSUE),"£22,860.07 ",19/12/2018,McAdam Design Ltd,"1C Montgomery House, 478 Castlereagh Road",Belfast,BT5 6BQ,,N/A,54.5802,-5.87535
Gas to West QS/CIVIL Construction Professional - Construction Grant Verification [RE-ISSUE],"£92,456.25 ",20/12/2018,Faithful & Gould,,,,,N/A,,
"BE1731172-B Works Associated with Washer Replacement Scheme at CDU, Royal Group of Hospitals","£354,000 ",21/12/2018,R J McKelvey Ltd,17 Carrickdartans Road,CASTLEDERG,BT81 7NQ,Belfast Health & Social Care Trust,N/A,54.69009,-7.56395
"BE1668643-B Edgcumbe TRC, Phased Toilet Refurbishment Works, BHSCT","£226,293 ",04/01/2019,McCusker Contracts,77 KILDRUM ROAD,OMAGH,BT78 3EQ,Belfast Health & Social Care Trust,N/A,54.51949,-7.43641
"BE1715360-E Replacement Fire Alarm System, Outpatients Building, Royal Victoria Hospital","£436,125 ",04/01/2019,Graham Facilities Management,101 Airport Road West,BELFAST,BT3 9ED,Belfast Health & Social Care Trust,N/A,54.62765,-5.87371
OHPCC Shell Fitout Phase 1,"£360,000 ",15/01/2019,J & M Begley (Building Contractors) Ltd,222 Barony Road,OMAGH,BT79 9AQ,Western Health & Social Care Trust,In the public interest,54.65353,-7.003
Firing Ranges De-Leading and Deep Cleaning Services - PSNI Estate,"£529,225.00 ",22/01/2019,WITHHELD,WITHHELD,WITHHELD,WITHHELD,Northern Ireland Policing Board,N/A,,
Framework for Building Maintenance and Minor Building Works Lot 1 Royal Group of Hospitals,"£3,260,000 ",24/01/2019,Killowen Contracts Ltd,35 Bridge Road ,NEWRY,BT34 3QT,Belfast Health & Social Care Trust,In the public interest,54.13831,-6.26013
Framework for Building Maintenance and Minor Building Works Lot 2 Belfast City Hospital,"£1,421,000 ",24/01/2019,Maurice Flynn & Sons Ltd,62 Springbank Industrial Estate,BELFAST,BT17 0QL,Belfast Health & Social Care Trust,In the public interest,54.56839,-6.03075
"Framework for Building Maintenance and Minor Building Works Lot 3 Musgrave Park Hospital, Knockbracken & South and East Belfast Community","£1,116,000 ",24/01/2019,H&J Martin Ltd,163 Ormeau Road,BELFAST,BT7 1SP,Belfast Health & Social Care Trust,In the public interest,54.585167,-5.922895
"Framework for Building Maintenance and Minor Building Works Lot 4 Musgrave Park Hospital, Knockbracken & South and East Belfast Community","£2,980,000 ",24/01/2019,Killowen Contracts Ltd,35 Bridge Road ,NEWRY,BT34 3QT,Belfast Health & Social Care Trust,In the public interest,54.13831,-6.26013
"BE1730953-B Formation of Lift Enclosure at Redevelopment Building, Royal Group of Hospitals","£94,750 ",24/01/2019,Killowen Contracts Ltd,35 Bridge Road ,NEWRY,BT34 3QT,Belfast Health & Social Care Trust,N/A,54.13831,-6.26013
NIFRS - Key safe Cabinets for Appliance Rooms,"£12,264 ",28/01/2019,H&J Martin Ltd,ROSEMOUNT HOUSE,BELFAST,BT3 9HA,Northern Ireland Fire & Rescue Service,N/A,54.60261,-5.91055
Fire Protection Works to NI Cancer Centre,"£270,000 ",31/01/2019,Maurice Flynn & Sons Ltd,62 Springbank Industrial Estate,BELFAST,BT17 0QL,Belfast Health & Social Care Trust,In the public interest,54.56839,-6.03075
Imaging Equipment Enabling Works @ HMP Magheraberry,"£29,600 ",01/02/2019,Healthcare Facilities Ltd,39 Middle Road,SAINTFIELD,BT24 7LP,South Eastern Health & Social Care Trust,In the public interest,54.45674,-5.84422
"BE1799903-M Ventilation Upgrade and Theatre Refurbisment, Critical Care Building, Royal Victoria Hospital","£1,336,040 ",01/02/2019,Michael Nugent Ltd,2 Tandragee Road,POMEROY,BT70 3DS,Belfast Health & Social Care Trust,N/A,54.58925,-6.91117
RGH Bostock House Demolition Works,"£1,739,000.00 ",05/02/2019,McCormack Demolition,"Park House, 56 Trench Road, Mallisk",Netwnabbey,BT36 4TY,BHSCT,N/A,54.67943,-5.99818
Lanark way Extended Junction PREI Scheme,"£18,913.85 ",05/02/2019,Doran Consulting Ltd,"Norwood House, 96-102 Victoria Street",Belfast,BT2 7BE,DfC,N/A,54.59231,-5.93381
BE1800286-B Formation of Short Stay Unit at Royal Belfast Hospital For Sick Children,"£625,233 ",07/02/2019,O'Hanlon Bros. Construction Ltd,"3 Annaghmore Road, Coalisland",DUNGANNON,BT71 4QZ,Belfast Health & Social Care Trust,N/A,54.52779,-6.6611
"BE1706197 - Supply, Installation And Commissioning Of A Mobile Diesel Generator And Associated Equipment For Belfast Health And Social Care Trust","£243,750 ",08/02/2019,AC Automation (U.K.) Ltd,5 Sloefield Park,CARRICKFERGUS,BT38 8GR,Belfast Health & Social Care Trust,N/A,54.71321,-5.84189
Relocation of Macmillan Information Pod at SWAH,"£8,000 ",12/02/2019,SpaceOasis Ltd,"D11, Hortonwood 7, Telford",SHROPSHIRE,TF1 7GP,Western Health & Social Care Trust,In the public interest,52.71701,-2.45978
NIFRS - Refurbishment of Buildings within the grounds of NIFRS Headquarters Lisburn,"£110,080 ",19/02/2019,Maurice Flynn & Sons Ltd,62 Springbank Industrial Estate,BELFAST,BT17 0QL,Northern Ireland Fire & Rescue Service,N/A,54.56839,-6.03075
